"name","run.no.in.std.order","run.no","run.no.std.rp","size","threads","version","optimization","time"
"115","439",115,"439.1","1024","2","3.8.0","O2",""
"116","226",116,"226.1","724","4","3.7.0","O1",""
"117","4",117,"4.1","1448","1","3.5.1","O0",""
"118","587",118,"587.1","1024","4","3.7.1","O3",""
"119","72",119,"72.1","1448","32","3.7.0","O0",""
"120","20",120,"20.1","1448","16","3.5.1","O0",""
"121","428",121,"428.1","1448","16","3.7.1","O2",""
"122","489",122,"489.1","512","4","3.9.0","O2",""
"123","181",123,"181.1","512","8","3.5.1","O1",""
"124","636",124,"636.1","1448","4","3.8.1","O3",""
"125","104",125,"104.1","1448","2","3.8.0","O0",""
"126","597",126,"597.1","512","32","3.7.1","O3",""
"127","282",127,"282.1","724","16","3.8.0","O1",""
"128","344",128,"344.1","1448","2","3.5.1","O2",""
"129","150",129,"150.1","724","2","3.9.0","O0",""
"130","562",130,"562.1","724","4","3.7.0","O3",""
"131","66",131,"66.1","724","16","3.7.0","O0",""
"132","343",132,"343.1","1024","2","3.5.1","O2",""
"133","299",133,"299.1","1024","4","3.8.1","O1",""
"134","51",134,"51.1","1024","1","3.7.0","O0",""
"135","434",135,"434.1","724","1","3.8.0","O2",""
"136","594",136,"594.1","724","16","3.7.1","O3",""
"137","220",137,"220.1","1448","1","3.7.0","O1",""
"138","269",138,"269.1","512","2","3.8.0","O1",""
"139","146",139,"146.1","724","1","3.9.0","O0",""
"140","222",140,"222.1","724","2","3.7.0","O1",""
"141","68",141,"68.1","1448","16","3.7.0","O0",""
"142","523",142,"523.1","1024","16","3.5.1","O3",""
"143","24",143,"24.1","1448","32","3.5.1","O0",""
"144","474",144,"474.1","724","16","3.8.1","O2",""
"145","548",145,"548.1","1448","16","3.6.2","O3",""
"146","234",146,"234.1","724","16","3.7.0","O1",""
"147","102",147,"102.1","724","2","3.8.0","O0",""
"148","60",148,"60.1","1448","4","3.7.0","O0",""
"149","386",149,"386.1","724","1","3.7.0","O2",""
"150","471",150,"471.1","1024","8","3.8.1","O2",""
"151","119",151,"119.1","1024","32","3.8.0","O0",""
"152","657",152,"657.1","512","4","3.9.0","O3",""
