"name","run.no.in.std.order","run.no","run.no.std.rp","size","threads","version","optimization","time"
"1962","395",1962,"395.3","1024","4","3.7.0","O2",""
"1963","331",1963,"331.3","1024","16","3.9.0","O1",""
"1964","557",1964,"557.3","512","2","3.7.0","O3",""
"1965","214",1965,"214.3","724","32","3.6.2","O1",""
"1966","281",1966,"281.3","512","16","3.8.0","O1",""
"1967","619",1967,"619.3","1024","16","3.8.0","O3",""
"1968","537",1968,"537.3","512","4","3.6.2","O3",""
"1969","285",1969,"285.3","512","32","3.8.0","O1",""
"1970","215",1970,"215.3","1024","32","3.6.2","O1",""
"1971","465",1971,"465.3","512","4","3.8.1","O2",""
"1972","448",1972,"448.3","1448","8","3.8.0","O2",""
"1973","568",1973,"568.3","1448","8","3.7.0","O3",""
"1974","122",1974,"122.3","724","1","3.8.1","O0",""
"1975","661",1975,"661.3","512","8","3.9.0","O3",""
"1976","556",1976,"556.3","1448","1","3.7.0","O3",""
"1977","23",1977,"23.3","1024","32","3.5.1","O0",""
"1978","490",1978,"490.3","724","4","3.9.0","O2",""
"1979","588",1979,"588.3","1448","4","3.7.1","O3",""
"1980","180",1980,"180.3","1448","4","3.5.1","O1",""
"1981","211",1981,"211.3","1024","16","3.6.2","O1",""
"1982","614",1982,"614.3","724","8","3.8.0","O3",""
"1983","84",1983,"84.3","1448","4","3.7.1","O0",""
"1984","511",1984,"511.3","1024","2","3.5.1","O3",""
"1985","657",1985,"657.3","512","4","3.9.0","O3",""
"1986","291",1986,"291.3","1024","1","3.8.1","O1",""
"1987","324",1987,"324.3","1448","4","3.9.0","O1",""
"1988","577",1988,"577.3","512","1","3.7.1","O3",""
"1989","543",1989,"543.3","1024","8","3.6.2","O3",""
"1990","507",1990,"507.3","1024","1","3.5.1","O3",""
"1991","517",1991,"517.3","512","8","3.5.1","O3",""
"1992","20",1992,"20.3","1448","16","3.5.1","O0",""
"1993","27",1993,"27.3","1024","1","3.6.2","O0",""
"1994","181",1994,"181.3","512","8","3.5.1","O1",""
"1995","616",1995,"616.3","1448","8","3.8.0","O3",""
"1996","428",1996,"428.3","1448","16","3.7.1","O2",""
"1997","663",1997,"663.3","1024","8","3.9.0","O3",""
"1998","32",1998,"32.3","1448","2","3.6.2","O0",""
"1999","570",1999,"570.3","724","16","3.7.0","O3",""
"2000","153",2000,"153.3","512","4","3.9.0","O0",""
"2001","312",2001,"312.3","1448","32","3.8.1","O1",""
"2002","175",2002,"175.3","1024","2","3.5.1","O1",""
"2003","208",2003,"208.3","1448","8","3.6.2","O1",""
"2004","640",2004,"640.3","1448","8","3.8.1","O3",""
"2005","310",2005,"310.3","724","32","3.8.1","O1",""
"2006","213",2006,"213.3","512","32","3.6.2","O1",""
"2007","186",2007,"186.3","724","16","3.5.1","O1",""
"2008","584",2008,"584.3","1448","2","3.7.1","O3",""
"2009","601",2009,"601.3","512","1","3.8.0","O3",""
"2010","127",2010,"127.3","1024","2","3.8.1","O0",""
"2011","563",2011,"563.3","1024","4","3.7.0","O3",""
"2012","36",2012,"36.3","1448","4","3.6.2","O0",""
"2013","54",2013,"54.3","724","2","3.7.0","O0",""
"2014","321",2014,"321.3","512","4","3.9.0","O1",""
"2015","466",2015,"466.3","724","4","3.8.1","O2",""
"2016","582",2016,"582.3","724","2","3.7.1","O3",""
"2017","548",2017,"548.4","1448","16","3.6.2","O3",""
"2018","157",2018,"157.4","512","8","3.9.0","O0",""
"2019","608",2019,"608.4","1448","2","3.8.0","O3",""
"2020","162",2020,"162.4","724","16","3.9.0","O0",""
"2021","89",2021,"89.4","512","16","3.7.1","O0",""
"2022","136",2022,"136.4","1448","8","3.8.1","O0",""
"2023","302",2023,"302.4","724","8","3.8.1","O1",""
"2024","201",2024,"201.4","512","4","3.6.2","O1",""
"2025","303",2025,"303.4","1024","8","3.8.1","O1",""
"2026","109",2026,"109.4","512","8","3.8.0","O0",""
"2027","652",2027,"652.4","1448","1","3.9.0","O3",""
"2028","537",2028,"537.4","512","4","3.6.2","O3",""
"2029","148",2029,"148.4","1448","1","3.9.0","O0",""
"2030","124",2030,"124.4","1448","1","3.8.1","O0",""
"2031","37",2031,"37.4","512","8","3.6.2","O0",""
"2032","627",2032,"627.4","1024","1","3.8.1","O3",""
"2033","26",2033,"26.4","724","1","3.6.2","O0",""
"2034","388",2034,"388.4","1448","1","3.7.0","O2",""
"2035","308",2035,"308.4","1448","16","3.8.1","O1",""
"2036","221",2036,"221.4","512","2","3.7.0","O1",""
"2037","444",2037,"444.4","1448","4","3.8.0","O2",""
"2038","196",2038,"196.4","1448","1","3.6.2","O1",""
"2039","535",2039,"535.4","1024","2","3.6.2","O3",""
"2040","132",2040,"132.4","1448","4","3.8.1","O0",""
"2041","70",2041,"70.4","724","32","3.7.0","O0",""
"2042","598",2042,"598.4","724","32","3.7.1","O3",""
"2043","336",2043,"336.4","1448","32","3.9.0","O1",""
"2044","585",2044,"585.4","512","4","3.7.1","O3",""
"2045","395",2045,"395.4","1024","4","3.7.0","O2",""
"2046","147",2046,"147.4","1024","1","3.9.0","O0",""
"2047","368",2047,"368.4","1448","2","3.6.2","O2",""
"2048","214",2048,"214.4","724","32","3.6.2","O1",""
"2049","23",2049,"23.4","1024","32","3.5.1","O0",""
"2050","100",2050,"100.4","1448","1","3.8.0","O0",""
"2051","144",2051,"144.4","1448","32","3.8.1","O0",""
"2052","17",2052,"17.4","512","16","3.5.1","O0",""
"2053","268",2053,"268.4","1448","1","3.8.0","O1",""
"2054","364",2054,"364.4","1448","1","3.6.2","O2",""
"2055","557",2055,"557.4","512","2","3.7.0","O3",""
"2056","143",2056,"143.4","1024","32","3.8.1","O0",""
"2057","198",2057,"198.4","724","2","3.6.2","O1",""
"2058","463",2058,"463.4","1024","2","3.8.1","O2",""
"2059","311",2059,"311.4","1024","32","3.8.1","O1",""
"2060","152",2060,"152.4","1448","2","3.9.0","O0",""
"2061","471",2061,"471.4","1024","8","3.8.1","O2",""
"2062","450",2062,"450.4","724","16","3.8.0","O2",""
"2063","480",2063,"480.4","1448","32","3.8.1","O2",""
"2064","459",2064,"459.4","1024","1","3.8.1","O2",""
"2065","115",2065,"115.4","1024","16","3.8.0","O0",""
"2066","175",2066,"175.4","1024","2","3.5.1","O1",""
"2067","349",2067,"349.4","512","8","3.5.1","O2",""
"2068","426",2068,"426.4","724","16","3.7.1","O2",""
"2069","65",2069,"65.4","512","16","3.7.0","O0",""
"2070","522",2070,"522.4","724","16","3.5.1","O3",""
"2071","505",2071,"505.4","512","1","3.5.1","O3",""
"2072","366",2072,"366.4","724","2","3.6.2","O2",""
"2073","578",2073,"578.4","724","1","3.7.1","O3",""
"2074","271",2074,"271.4","1024","2","3.8.0","O1",""
"2075","458",2075,"458.4","724","1","3.8.1","O2",""
"2076","120",2076,"120.4","1448","32","3.8.0","O0",""
"2077","633",2077,"633.4","512","4","3.8.1","O3",""
"2078","551",2078,"551.4","1024","32","3.6.2","O3",""
"2079","84",2079,"84.4","1448","4","3.7.1","O0",""
"2080","429",2080,"429.4","512","32","3.7.1","O2",""
"2081","45",2081,"45.4","512","32","3.6.2","O0",""
"2082","292",2082,"292.4","1448","1","3.8.1","O1",""
"2083","506",2083,"506.4","724","1","3.5.1","O3",""
"2084","288",2084,"288.4","1448","32","3.8.0","O1",""
"2085","659",2085,"659.4","1024","4","3.9.0","O3",""
"2086","448",2086,"448.4","1448","8","3.8.0","O2",""
"2087","664",2087,"664.4","1448","8","3.9.0","O3",""
"2088","573",2088,"573.4","512","32","3.7.0","O3",""
"2089","587",2089,"587.4","1024","4","3.7.1","O3",""
"2090","57",2090,"57.4","512","4","3.7.0","O0",""
"2091","491",2091,"491.4","1024","4","3.9.0","O2",""
"2092","141",2092,"141.4","512","32","3.8.1","O0",""
"2093","530",2093,"530.4","724","1","3.6.2","O3",""
"2094","327",2094,"327.4","1024","8","3.9.0","O1",""
"2095","36",2095,"36.4","1448","4","3.6.2","O0",""
"2096","319",2096,"319.4","1024","2","3.9.0","O1",""
"2097","354",2097,"354.4","724","16","3.5.1","O2",""
"2098","562",2098,"562.4","724","4","3.7.0","O3",""
"2099","263",2099,"263.4","1024","32","3.7.1","O1",""
"2100","639",2100,"639.4","1024","8","3.8.1","O3",""
"2101","31",2101,"31.4","1024","2","3.6.2","O0",""
"2102","7",2102,"7.4","1024","2","3.5.1","O0",""
"2103","469",2103,"469.4","512","8","3.8.1","O2",""
"2104","54",2104,"54.4","724","2","3.7.0","O0",""
"2105","511",2105,"511.4","1024","2","3.5.1","O3",""
"2106","34",2106,"34.4","724","4","3.6.2","O0",""
"2107","314",2107,"314.4","724","1","3.9.0","O1",""
"2108","76",2108,"76.4","1448","1","3.7.1","O0",""
"2109","236",2109,"236.4","1448","16","3.7.0","O1",""
"2110","351",2110,"351.4","1024","8","3.5.1","O2",""
"2111","101",2111,"101.4","512","2","3.8.0","O0",""
"2112","519",2112,"519.4","1024","8","3.5.1","O3",""
"2113","509",2113,"509.4","512","2","3.5.1","O3",""
"2114","612",2114,"612.4","1448","4","3.8.0","O3",""
"2115","260",2115,"260.4","1448","16","3.7.1","O1",""
"2116","291",2116,"291.4","1024","1","3.8.1","O1",""
"2117","22",2117,"22.4","724","32","3.5.1","O0",""
"2118","300",2118,"300.4","1448","4","3.8.1","O1",""
"2119","52",2119,"52.4","1448","1","3.7.0","O0",""
"2120","501",2120,"501.4","512","32","3.9.0","O2",""
"2121","453",2121,"453.4","512","32","3.8.0","O2",""
"2122","592",2122,"592.4","1448","8","3.7.1","O3",""
"2123","446",2123,"446.4","724","8","3.8.0","O2",""
"2124","635",2124,"635.4","1024","4","3.8.1","O3",""
"2125","156",2125,"156.4","1448","4","3.9.0","O0",""
"2126","209",2126,"209.4","512","16","3.6.2","O1",""
"2127","357",2127,"357.4","512","32","3.5.1","O2",""
"2128","122",2128,"122.4","724","1","3.8.1","O0",""
"2129","139",2129,"139.4","1024","16","3.8.1","O0",""
"2130","131",2130,"131.4","1024","4","3.8.1","O0",""
"2131","239",2131,"239.4","1024","32","3.7.0","O1",""
"2132","640",2132,"640.4","1448","8","3.8.1","O3",""
"2133","365",2133,"365.4","512","2","3.6.2","O2",""
"2134","315",2134,"315.4","1024","1","3.9.0","O1",""
"2135","525",2135,"525.4","512","32","3.5.1","O3",""
"2136","12",2136,"12.4","1448","4","3.5.1","O0",""
"2137","172",2137,"172.4","1448","1","3.5.1","O1",""
"2138","159",2138,"159.4","1024","8","3.9.0","O0",""
"2139","251",2139,"251.4","1024","4","3.7.1","O1",""
"2140","394",2140,"394.4","724","4","3.7.0","O2",""
"2141","550",2141,"550.4","724","32","3.6.2","O3",""
"2142","286",2142,"286.4","724","32","3.8.0","O1",""
"2143","186",2143,"186.4","724","16","3.5.1","O1",""
"2144","451",2144,"451.4","1024","16","3.8.0","O2",""
"2145","287",2145,"287.4","1024","32","3.8.0","O1",""
"2146","401",2146,"401.4","512","16","3.7.0","O2",""
"2147","249",2147,"249.4","512","4","3.7.1","O1",""
"2148","194",2148,"194.4","724","1","3.6.2","O1",""
"2149","275",2149,"275.4","1024","4","3.8.0","O1",""
"2150","515",2150,"515.4","1024","4","3.5.1","O3",""
"2151","60",2151,"60.4","1448","4","3.7.0","O0",""
"2152","582",2152,"582.4","724","2","3.7.1","O3",""
"2153","77",2153,"77.4","512","2","3.7.1","O0",""
"2154","179",2154,"179.4","1024","4","3.5.1","O1",""
"2155","289",2155,"289.4","512","1","3.8.1","O1",""
"2156","151",2156,"151.4","1024","2","3.9.0","O0",""
"2157","181",2157,"181.4","512","8","3.5.1","O1",""
"2158","536",2158,"536.4","1448","2","3.6.2","O3",""
"2159","230",2159,"230.4","724","8","3.7.0","O1",""
"2160","597",2160,"597.4","512","32","3.7.1","O3",""
"2161","424",2161,"424.4","1448","8","3.7.1","O2",""
"2162","607",2162,"607.4","1024","2","3.8.0","O3",""
"2163","528",2163,"528.4","1448","32","3.5.1","O3",""
"2164","338",2164,"338.4","724","1","3.5.1","O2",""
"2165","671",2165,"671.4","1024","32","3.9.0","O3",""
"2166","564",2166,"564.4","1448","4","3.7.0","O3",""
"2167","397",2167,"397.4","512","8","3.7.0","O2",""
"2168","158",2168,"158.4","724","8","3.9.0","O0",""
"2169","653",2169,"653.4","512","2","3.9.0","O3",""
"2170","603",2170,"603.4","1024","1","3.8.0","O3",""
"2171","32",2171,"32.4","1448","2","3.6.2","O0",""
"2172","191",2172,"191.4","1024","32","3.5.1","O1",""
"2173","385",2173,"385.4","512","1","3.7.0","O2",""
"2174","404",2174,"404.4","1448","16","3.7.0","O2",""
"2175","55",2175,"55.4","1024","2","3.7.0","O0",""
"2176","47",2176,"47.4","1024","32","3.6.2","O0",""
"2177","9",2177,"9.4","512","4","3.5.1","O0",""
"2178","588",2178,"588.4","1448","4","3.7.1","O3",""
"2179","193",2179,"193.4","512","1","3.6.2","O1",""
"2180","267",2180,"267.4","1024","1","3.8.0","O1",""
"2181","79",2181,"79.4","1024","2","3.7.1","O0",""
"2182","187",2182,"187.4","1024","16","3.5.1","O1",""
"2183","383",2183,"383.4","1024","32","3.6.2","O2",""
"2184","431",2184,"431.4","1024","32","3.7.1","O2",""
"2185","346",2185,"346.4","724","4","3.5.1","O2",""
"2186","619",2186,"619.4","1024","16","3.8.0","O3",""
"2187","481",2187,"481.4","512","1","3.9.0","O2",""
"2188","517",2188,"517.4","512","8","3.5.1","O3",""
"2189","590",2189,"590.4","724","8","3.7.1","O3",""
"2190","266",2190,"266.4","724","1","3.8.0","O1",""
"2191","149",2191,"149.4","512","2","3.9.0","O0",""
"2192","438",2192,"438.4","724","2","3.8.0","O2",""
"2193","532",2193,"532.4","1448","1","3.6.2","O3",""
"2194","283",2194,"283.4","1024","16","3.8.0","O1",""
"2195","611",2195,"611.4","1024","4","3.8.0","O3",""
"2196","430",2196,"430.4","724","32","3.7.1","O2",""
"2197","166",2197,"166.4","724","32","3.9.0","O0",""
"2198","75",2198,"75.4","1024","1","3.7.1","O0",""
"2199","631",2199,"631.4","1024","2","3.8.1","O3",""
"2200","492",2200,"492.4","1448","4","3.9.0","O2",""
"2201","561",2201,"561.4","512","4","3.7.0","O3",""
"2202","440",2202,"440.4","1448","2","3.8.0","O2",""
"2203","117",2203,"117.4","512","32","3.8.0","O0",""
"2204","199",2204,"199.4","1024","2","3.6.2","O1",""
"2205","384",2205,"384.4","1448","32","3.6.2","O2",""
"2206","656",2206,"656.4","1448","2","3.9.0","O3",""
"2207","27",2207,"27.4","1024","1","3.6.2","O0",""
"2208","252",2208,"252.4","1448","4","3.7.1","O1",""
"2209","629",2209,"629.4","512","2","3.8.1","O3",""
"2210","628",2210,"628.4","1448","1","3.8.1","O3",""
"2211","516",2211,"516.4","1448","4","3.5.1","O3",""
"2212","668",2212,"668.4","1448","16","3.9.0","O3",""
"2213","161",2213,"161.4","512","16","3.9.0","O0",""
"2214","572",2214,"572.4","1448","16","3.7.0","O3",""
"2215","180",2215,"180.4","1448","4","3.5.1","O1",""
"2216","140",2216,"140.4","1448","16","3.8.1","O0",""
"2217","499",2217,"499.4","1024","16","3.9.0","O2",""
"2218","235",2218,"235.4","1024","16","3.7.0","O1",""
"2219","42",2219,"42.4","724","16","3.6.2","O0",""
"2220","171",2220,"171.4","1024","1","3.5.1","O1",""
"2221","495",2221,"495.4","1024","8","3.9.0","O2",""
"2222","350",2222,"350.4","724","8","3.5.1","O2",""
"2223","358",2223,"358.4","724","32","3.5.1","O2",""
"2224","325",2224,"325.4","512","8","3.9.0","O1",""
"2225","436",2225,"436.4","1448","1","3.8.0","O2",""
"2226","63",2226,"63.4","1024","8","3.7.0","O0",""
"2227","18",2227,"18.4","724","16","3.5.1","O0",""
"2228","280",2228,"280.4","1448","8","3.8.0","O1",""
"2229","332",2229,"332.4","1448","16","3.9.0","O1",""
"2230","229",2230,"229.4","512","8","3.7.0","O1",""
"2231","176",2231,"176.4","1448","2","3.5.1","O1",""
"2232","305",2232,"305.4","512","16","3.8.1","O1",""
"2233","618",2233,"618.4","724","16","3.8.0","O3",""
"2234","225",2234,"225.4","512","4","3.7.0","O1",""
"2235","392",2235,"392.4","1448","2","3.7.0","O2",""
"2236","330",2236,"330.4","724","16","3.9.0","O1",""
"2237","490",2237,"490.4","724","4","3.9.0","O2",""
"2238","167",2238,"167.4","1024","32","3.9.0","O0",""
"2239","553",2239,"553.4","512","1","3.7.0","O3",""
"2240","99",2240,"99.4","1024","1","3.8.0","O0",""
"2241","507",2241,"507.4","1024","1","3.5.1","O3",""
"2242","344",2242,"344.4","1448","2","3.5.1","O2",""
"2243","470",2243,"470.4","724","8","3.8.1","O2",""
"2244","265",2244,"265.4","512","1","3.8.0","O1",""
"2245","533",2245,"533.4","512","2","3.6.2","O3",""
"2246","387",2246,"387.4","1024","1","3.7.0","O2",""
"2247","204",2247,"204.4","1448","4","3.6.2","O1",""
"2248","381",2248,"381.4","512","32","3.6.2","O2",""
"2249","240",2249,"240.4","1448","32","3.7.0","O1",""
"2250","217",2250,"217.4","512","1","3.7.0","O1",""
"2251","313",2251,"313.4","512","1","3.9.0","O1",""
"2252","116",2252,"116.4","1448","16","3.8.0","O0",""
"2253","259",2253,"259.4","1024","16","3.7.1","O1",""
"2254","655",2254,"655.4","1024","2","3.9.0","O3",""
"2255","40",2255,"40.4","1448","8","3.6.2","O0",""
"2256","233",2256,"233.4","512","16","3.7.0","O1",""
"2257","16",2257,"16.4","1448","8","3.5.1","O0",""
"2258","72",2258,"72.4","1448","32","3.7.0","O0",""
"2259","90",2259,"90.4","724","16","3.7.1","O0",""
"2260","526",2260,"526.4","724","32","3.5.1","O3",""
"2261","488",2261,"488.4","1448","2","3.9.0","O2",""
"2262","638",2262,"638.4","724","8","3.8.1","O3",""
"2263","213",2263,"213.4","512","32","3.6.2","O1",""
"2264","206",2264,"206.4","724","8","3.6.2","O1",""
"2265","340",2265,"340.4","1448","1","3.5.1","O2",""
"2266","274",2266,"274.4","724","4","3.8.0","O1",""
"2267","547",2267,"547.4","1024","16","3.6.2","O3",""
"2268","61",2268,"61.4","512","8","3.7.0","O0",""
"2269","35",2269,"35.4","1024","4","3.6.2","O0",""
"2270","46",2270,"46.4","724","32","3.6.2","O0",""
"2271","25",2271,"25.4","512","1","3.6.2","O0",""
"2272","487",2272,"487.4","1024","2","3.9.0","O2",""
"2273","293",2273,"293.4","512","2","3.8.1","O1",""
"2274","580",2274,"580.4","1448","1","3.7.1","O3",""
"2275","3",2275,"3.4","1024","1","3.5.1","O0",""
"2276","155",2276,"155.4","1024","4","3.9.0","O0",""
"2277","1",2277,"1.4","512","1","3.5.1","O0",""
"2278","371",2278,"371.4","1024","4","3.6.2","O2",""
"2279","326",2279,"326.4","724","8","3.9.0","O1",""
"2280","183",2280,"183.4","1024","8","3.5.1","O1",""
"2281","604",2281,"604.4","1448","1","3.8.0","O3",""
"2282","464",2282,"464.4","1448","2","3.8.1","O2",""
"2283","361",2283,"361.4","512","1","3.6.2","O2",""
"2284","224",2284,"224.4","1448","2","3.7.0","O1",""
"2285","102",2285,"102.4","724","2","3.8.0","O0",""
"2286","514",2286,"514.4","724","4","3.5.1","O3",""
"2287","405",2287,"405.4","512","32","3.7.0","O2",""
"2288","563",2288,"563.4","1024","4","3.7.0","O3",""
"2289","472",2289,"472.4","1448","8","3.8.1","O2",""
"2290","606",2290,"606.4","724","2","3.8.0","O3",""
"2291","462",2291,"462.4","724","2","3.8.1","O2",""
"2292","129",2292,"129.4","512","4","3.8.1","O0",""
"2293","409",2293,"409.4","512","1","3.7.1","O2",""
"2294","174",2294,"174.4","724","2","3.5.1","O1",""
"2295","432",2295,"432.4","1448","32","3.7.1","O2",""
"2296","137",2296,"137.4","512","16","3.8.1","O0",""
"2297","457",2297,"457.4","512","1","3.8.1","O2",""
"2298","494",2298,"494.4","724","8","3.9.0","O2",""
"2299","630",2299,"630.4","724","2","3.8.1","O3",""
"2300","403",2300,"403.4","1024","16","3.7.0","O2",""
"2301","91",2301,"91.4","1024","16","3.7.1","O0",""
"2302","195",2302,"195.4","1024","1","3.6.2","O1",""
"2303","97",2303,"97.4","512","1","3.8.0","O0",""
"2304","558",2304,"558.4","724","2","3.7.0","O3",""
"2305","85",2305,"85.4","512","8","3.7.1","O0",""
"2306","185",2306,"185.4","512","16","3.5.1","O1",""
"2307","337",2307,"337.4","512","1","3.5.1","O2",""
"2308","449",2308,"449.4","512","16","3.8.0","O2",""
"2309","44",2309,"44.4","1448","16","3.6.2","O0",""
"2310","651",2310,"651.4","1024","1","3.9.0","O3",""
"2311","160",2311,"160.4","1448","8","3.9.0","O0",""
"2312","654",2312,"654.4","724","2","3.9.0","O3",""
"2313","467",2313,"467.4","1024","4","3.8.1","O2",""
"2314","211",2314,"211.4","1024","16","3.6.2","O1",""
"2315","119",2315,"119.4","1024","32","3.8.0","O0",""
"2316","670",2316,"670.4","724","32","3.9.0","O3",""
"2317","306",2317,"306.4","724","16","3.8.1","O1",""
"2318","210",2318,"210.4","724","16","3.6.2","O1",""
"2319","11",2319,"11.4","1024","4","3.5.1","O0",""
"2320","29",2320,"29.4","512","2","3.6.2","O0",""
"2321","316",2321,"316.4","1448","1","3.9.0","O1",""
"2322","87",2322,"87.4","1024","8","3.7.1","O0",""
"2323","71",2323,"71.4","1024","32","3.7.0","O0",""
"2324","596",2324,"596.4","1448","16","3.7.1","O3",""
"2325","256",2325,"256.4","1448","8","3.7.1","O1",""
"2326","264",2326,"264.4","1448","32","3.7.1","O1",""
"2327","322",2327,"322.4","724","4","3.9.0","O1",""
"2328","393",2328,"393.4","512","4","3.7.0","O2",""
"2329","372",2329,"372.4","1448","4","3.6.2","O2",""
"2330","111",2330,"111.4","1024","8","3.8.0","O0",""
"2331","67",2331,"67.4","1024","16","3.7.0","O0",""
"2332","333",2332,"333.4","512","32","3.9.0","O1",""
"2333","485",2333,"485.4","512","2","3.9.0","O2",""
"2334","660",2334,"660.4","1448","4","3.9.0","O3",""
"2335","400",2335,"400.4","1448","8","3.7.0","O2",""
"2336","125",2336,"125.4","512","2","3.8.1","O0",""
"2337","478",2337,"478.4","724","32","3.8.1","O2",""
"2338","363",2338,"363.4","1024","1","3.6.2","O2",""
"2339","577",2339,"577.4","512","1","3.7.1","O3",""
"2340","205",2340,"205.4","512","8","3.6.2","O1",""
"2341","415",2341,"415.4","1024","2","3.7.1","O2",""
"2342","647",2342,"647.4","1024","32","3.8.1","O3",""
"2343","513",2343,"513.4","512","4","3.5.1","O3",""
"2344","202",2344,"202.4","724","4","3.6.2","O1",""
"2345","645",2345,"645.4","512","32","3.8.1","O3",""
"2346","285",2346,"285.4","512","32","3.8.0","O1",""
"2347","242",2347,"242.4","724","1","3.7.1","O1",""
"2348","216",2348,"216.4","1448","32","3.6.2","O1",""
"2349","10",2349,"10.4","724","4","3.5.1","O0",""
"2350","465",2350,"465.4","512","4","3.8.1","O2",""
"2351","114",2351,"114.4","724","16","3.8.0","O0",""
"2352","343",2352,"343.4","1024","2","3.5.1","O2",""
"2353","197",2353,"197.4","512","2","3.6.2","O1",""
"2354","484",2354,"484.4","1448","1","3.9.0","O2",""
"2355","649",2355,"649.4","512","1","3.9.0","O3",""
"2356","123",2356,"123.4","1024","1","3.8.1","O0",""
"2357","605",2357,"605.4","512","2","3.8.0","O3",""
"2358","601",2358,"601.4","512","1","3.8.0","O3",""
"2359","273",2359,"273.4","512","4","3.8.0","O1",""
"2360","389",2360,"389.4","512","2","3.7.0","O2",""
"2361","581",2361,"581.4","512","2","3.7.1","O3",""
"2362","407",2362,"407.4","1024","32","3.7.0","O2",""
"2363","133",2363,"133.4","512","8","3.8.1","O0",""
"2364","518",2364,"518.4","724","8","3.5.1","O3",""
"2365","643",2365,"643.4","1024","16","3.8.1","O3",""
"2366","625",2366,"625.4","512","1","3.8.1","O3",""
"2367","413",2367,"413.4","512","2","3.7.1","O2",""
"2368","662",2368,"662.4","724","8","3.9.0","O3",""
"2369","248",2369,"248.4","1448","2","3.7.1","O1",""
"2370","396",2370,"396.4","1448","4","3.7.0","O2",""
"2371","250",2371,"250.4","724","4","3.7.1","O1",""
"2372","455",2372,"455.4","1024","32","3.8.0","O2",""
"2373","642",2373,"642.4","724","16","3.8.1","O3",""
"2374","51",2374,"51.4","1024","1","3.7.0","O0",""
"2375","13",2375,"13.4","512","8","3.5.1","O0",""
"2376","355",2376,"355.4","1024","16","3.5.1","O2",""
"2377","543",2377,"543.4","1024","8","3.6.2","O3",""
"2378","454",2378,"454.4","724","32","3.8.0","O2",""
"2379","559",2379,"559.4","1024","2","3.7.0","O3",""
"2380","231",2380,"231.4","1024","8","3.7.0","O1",""
"2381","421",2381,"421.4","512","8","3.7.1","O2",""
"2382","595",2382,"595.4","1024","16","3.7.1","O3",""
"2383","475",2383,"475.4","1024","16","3.8.1","O2",""
"2384","165",2384,"165.4","512","32","3.9.0","O0",""
"2385","232",2385,"232.4","1448","8","3.7.0","O1",""
"2386","437",2386,"437.4","512","2","3.8.0","O2",""
"2387","398",2387,"398.4","724","8","3.7.0","O2",""
"2388","370",2388,"370.4","724","4","3.6.2","O2",""
"2389","460",2389,"460.4","1448","1","3.8.1","O2",""
"2390","433",2390,"433.4","512","1","3.8.0","O2",""
"2391","281",2391,"281.4","512","16","3.8.0","O1",""
"2392","369",2392,"369.4","512","4","3.6.2","O2",""
"2393","614",2393,"614.4","724","8","3.8.0","O3",""
"2394","331",2394,"331.4","1024","16","3.9.0","O1",""
"2395","74",2395,"74.4","724","1","3.7.1","O0",""
"2396","616",2396,"616.4","1448","8","3.8.0","O3",""
"2397","237",2397,"237.4","512","32","3.7.0","O1",""
"2398","66",2398,"66.4","724","16","3.7.0","O0",""
"2399","663",2399,"663.4","1024","8","3.9.0","O3",""
"2400","223",2400,"223.4","1024","2","3.7.0","O1",""
"2401","296",2401,"296.4","1448","2","3.8.1","O1",""
"2402","406",2402,"406.4","724","32","3.7.0","O2",""
"2403","546",2403,"546.4","724","16","3.6.2","O3",""
"2404","591",2404,"591.4","1024","8","3.7.1","O3",""
"2405","254",2405,"254.4","724","8","3.7.1","O1",""
"2406","96",2406,"96.4","1448","32","3.7.1","O0",""
"2407","284",2407,"284.4","1448","16","3.8.0","O1",""
"2408","567",2408,"567.4","1024","8","3.7.0","O3",""
"2409","367",2409,"367.4","1024","2","3.6.2","O2",""
"2410","269",2410,"269.4","512","2","3.8.0","O1",""
"2411","321",2411,"321.4","512","4","3.9.0","O1",""
"2412","184",2412,"184.4","1448","8","3.5.1","O1",""
"2413","510",2413,"510.4","724","2","3.5.1","O3",""
"2414","244",2414,"244.4","1448","1","3.7.1","O1",""
"2415","168",2415,"168.4","1448","32","3.9.0","O0",""
"2416","335",2416,"335.4","1024","32","3.9.0","O1",""
"2417","317",2417,"317.4","512","2","3.9.0","O1",""
"2418","483",2418,"483.4","1024","1","3.9.0","O2",""
"2419","540",2419,"540.4","1448","4","3.6.2","O3",""
"2420","599",2420,"599.4","1024","32","3.7.1","O3",""
"2421","69",2421,"69.4","512","32","3.7.0","O0",""
"2422","164",2422,"164.4","1448","16","3.9.0","O0",""
"2423","418",2423,"418.4","724","4","3.7.1","O2",""
"2424","644",2424,"644.4","1448","16","3.8.1","O3",""
"2425","41",2425,"41.4","512","16","3.6.2","O0",""
"2426","657",2426,"657.4","512","4","3.9.0","O3",""
"2427","146",2427,"146.4","724","1","3.9.0","O0",""
"2428","512",2428,"512.4","1448","2","3.5.1","O3",""
"2429","527",2429,"527.4","1024","32","3.5.1","O3",""
"2430","243",2430,"243.4","1024","1","3.7.1","O1",""
"2431","78",2431,"78.4","724","2","3.7.1","O0",""
"2432","226",2432,"226.4","724","4","3.7.0","O1",""
"2433","374",2433,"374.4","724","8","3.6.2","O2",""
